subsystem,capability,status,ui,api,service,db,worker,provider,tests,evidence_ref,owner_action,repair_phase
auth,Sign in with email and password,COMPLETE,YES,NO,YES,YES,NO,supabase-auth,YES,lib/auth/actions.ts:244,,-
auth,Sign up and workspace creation,COMPLETE,YES,NO,YES,YES,NO,supabase-auth,YES,lib/auth/actions.ts:95,,-
auth,Access gating (approved / pending / denied),COMPLETE,YES,NO,YES,YES,NO,none,YES,lib/auth/decide.ts:1,,-
auth,Permission resolution (45 permissions),COMPLETE,YES,YES,YES,YES,NO,none,YES,lib/workspaces/permissions.ts:246,DECISION-06 (yaml vs ts),-
auth,Edge route guard,COMPLETE,NO,NO,YES,NO,NO,none,PARTIAL,proxy.ts:1,,-
crm,Contact list with sort and paging,COMPLETE,YES,YES,YES,YES,NO,none,YES,lib/crm/contacts-list.ts:84,,-
crm,Contact detail,COMPLETE,YES,YES,YES,YES,NO,none,YES,app/(product)/crm/contacts/[id]/page.tsx:1,,-
crm,Contact create / edit / soft delete,COMPLETE,YES,NO,YES,YES,NO,none,YES,lib/crm/contact-actions.ts:1,,-
crm,Company list and detail,COMPLETE,YES,YES,YES,YES,NO,none,YES,app/(product)/crm/companies/page.tsx:1,,-
crm,Contact export (CRM + marketing kinds),COMPLETE,YES,NO,YES,YES,NO,none,YES,lib/crm/contact-export.ts:92,,-
crm,CSV import with column mapping,PARTIAL,YES,NO,YES,YES,NO,none,YES,lib/crm/csv-import.ts:265,,P2
crm,Duplicate detection and merge,COMPLETE,YES,NO,YES,YES,NO,none,YES,lib/crm/duplicates.ts:320,,-
crm,Pipelines and stages,COMPLETE,YES,YES,YES,YES,NO,none,YES,lib/crm/opportunities.ts:47,,-
crm,Opportunity create and stage move,COMPLETE,YES,YES,YES,YES,NO,none,YES,lib/crm/opportunities.ts:299,,-
crm,Tasks,COMPLETE,YES,YES,YES,YES,NO,none,YES,app/(product)/crm/tasks/actions.ts:1,,-
crm,Activity timeline (append-only),COMPLETE,YES,YES,YES,YES,NO,none,YES,lib/crm/activities.ts:1,,-
crm,Notes,PARTIAL,YES,NO,YES,YES,NO,none,PARTIAL,lib/crm/repository.ts:1,,P2
crm,Static lists,BACKEND_ONLY,PARTIAL,YES,PARTIAL,YES,NO,none,PARTIAL,app/(product)/crm/lists/page.tsx:77,,P2
crm,Custom fields,DEAD_CODE,NO,NO,YES,YES,NO,none,YES,lib/crm/custom-fields.ts:265,,P3
crm,Saved views,NOT_IMPLEMENTED,NO,NO,NO,YES,NO,none,NO,supabase/migrations:crm_saved_views,,P3
